id,difficulty,question,answer,reference
1,Easy,Who was the first man created by God?,Adam,Genesis 2:7
2,Easy,What did God create on the first day?,Light,Genesis 1:3
3,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
4,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
5,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
6,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
7,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
8,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
9,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
10,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
11,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
12,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
13,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
14,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
15,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
16,Easy,Who was the first man created by God?,Adam,Genesis 2:7
17,Easy,What did God create on the first day?,Light,Genesis 1:3
18,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
19,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
20,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
21,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
22,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
23,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
24,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
25,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
26,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
27,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
28,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
29,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
30,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
31,Easy,Who was the first man created by God?,Adam,Genesis 2:7
32,Easy,What did God create on the first day?,Light,Genesis 1:3
33,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
34,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
35,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
36,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
37,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
38,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
39,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
40,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
41,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
42,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
43,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
44,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
45,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
46,Easy,Who was the first man created by God?,Adam,Genesis 2:7
47,Easy,What did God create on the first day?,Light,Genesis 1:3
48,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
49,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
50,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
51,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
52,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
53,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
54,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
55,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
56,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
57,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
58,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
59,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
60,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
61,Easy,Who was the first man created by God?,Adam,Genesis 2:7
62,Easy,What did God create on the first day?,Light,Genesis 1:3
63,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
64,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
65,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
66,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
67,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
68,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
69,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
70,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
71,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
72,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
73,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
74,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
75,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
76,Easy,Who was the first man created by God?,Adam,Genesis 2:7
77,Easy,What did God create on the first day?,Light,Genesis 1:3
78,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
79,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
80,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
81,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
82,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
83,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
84,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
85,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
86,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
87,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
88,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
89,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
90,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
91,Easy,Who was the first man created by God?,Adam,Genesis 2:7
92,Easy,What did God create on the first day?,Light,Genesis 1:3
93,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
94,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
95,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
96,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
97,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
98,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
99,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
100,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
101,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
102,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
103,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
104,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
105,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
106,Easy,Who was the first man created by God?,Adam,Genesis 2:7
107,Easy,What did God create on the first day?,Light,Genesis 1:3
108,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
109,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
110,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
111,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
112,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
113,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
114,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
115,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
116,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
117,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
118,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
119,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
120,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
121,Easy,Who was the first man created by God?,Adam,Genesis 2:7
122,Easy,What did God create on the first day?,Light,Genesis 1:3
123,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
124,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
125,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
126,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
127,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
128,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
129,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
130,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
131,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
132,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
133,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
134,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
135,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
136,Easy,Who was the first man created by God?,Adam,Genesis 2:7
137,Easy,What did God create on the first day?,Light,Genesis 1:3
138,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
139,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
140,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
141,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
142,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
143,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
144,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
145,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
146,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
147,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
148,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
149,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
150,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
151,Easy,Who was the first man created by God?,Adam,Genesis 2:7
152,Easy,What did God create on the first day?,Light,Genesis 1:3
153,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
154,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
155,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
156,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
157,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
158,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
159,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
160,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
161,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
162,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
163,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
164,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
165,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
166,Easy,Who was the first man created by God?,Adam,Genesis 2:7
167,Easy,What did God create on the first day?,Light,Genesis 1:3
168,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
169,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
170,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
171,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
172,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
173,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
174,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
175,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
176,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
177,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
178,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
179,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
180,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
181,Easy,Who was the first man created by God?,Adam,Genesis 2:7
182,Easy,What did God create on the first day?,Light,Genesis 1:3
183,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
184,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
185,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
186,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
187,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
188,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
189,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
190,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
191,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
192,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
193,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
194,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
195,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
196,Easy,Who was the first man created by God?,Adam,Genesis 2:7
197,Easy,What did God create on the first day?,Light,Genesis 1:3
198,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
199,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
200,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
201,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
202,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
203,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
204,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
205,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
206,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
207,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
208,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
209,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
210,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
211,Easy,Who was the first man created by God?,Adam,Genesis 2:7
212,Easy,What did God create on the first day?,Light,Genesis 1:3
213,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
214,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
215,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
216,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
217,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
218,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
219,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
220,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
221,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
222,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
223,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
224,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
225,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
226,Easy,Who was the first man created by God?,Adam,Genesis 2:7
227,Easy,What did God create on the first day?,Light,Genesis 1:3
228,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
229,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
230,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
231,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
232,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
233,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
234,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
235,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
236,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
237,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
238,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
239,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
240,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
241,Easy,Who was the first man created by God?,Adam,Genesis 2:7
242,Easy,What did God create on the first day?,Light,Genesis 1:3
243,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
244,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
245,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
246,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
247,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
248,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
249,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
250,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
